CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA
46;CH;60181;A;;0;;0.70844;-0.23821;0.02167;AZUL;53
46;CH;60181;A;;0;;0.70844;-0.23821;0.02167;AMARELO;54
46;CH;60182;A;;0;;1.41931;0.48597;0.30167;BRANCO;55
46;CH;60185;A;;0;;1.40172;2.50064;0.26532;ROSA;56
46;CH;58938;B;;0;;2.21264;0.49351;0.16385;AZUL;69
46;CH;58938;B;;0;;2.21264;0.49351;0.16385;AMARELO;70
46;CH;58938;B;;0;;2.21264;0.49351;0.16385;BRANCO;71
46;CH;58938;B;;0;;2.21264;0.49351;0.16385;ROSA;72
47;CH;60182;A;;0;;1.41931;0.48597;0.30167;AZUL;53
47;CH;60182;A;;0;;1.41931;0.48597;0.30167;AMARELO;54
47;CH;60181;A;;0;;0.70844;-0.23821;0.02167;BRANCO;55
47;CH;60186;A;;0;;0.86791;0.29868;0.00083;ROSA;56
47;CH;58251;C;;0;;1.17622;0.63214;0.20609;AZUL;69
47;CH;58251;C;;0;;1.17622;0.63214;0.20609;AMARELO;70
47;CH;58251;C;;0;;1.17622;0.63214;0.20609;BRANCO;71
47;CH;58251;C;;0;;1.17622;0.63214;0.20609;ROSA;72
48;CH;60183;C;;0;;1.76944;1.54032;0.20404;AZUL;53
48;CH;60184;A;;0;;2.69518;2.55769;0.11948;AMARELO;54
48;CH;60183;C;;0;;1.76944;1.54032;0.20404;BRANCO;55
48;CH;60188;E;;0;;1.18998;1.61099;0.09065;ROSA;56
48;CH;58068;C;;0;;1.22035;-0.26715;0.149;AZUL;69
48;CH;58068;C;;0;;1.22035;-0.26715;0.149;AMARELO;70
48;CH;58068;C;;0;;1.22035;-0.26715;0.149;BRANCO;71
48;CH;58068;C;;0;;1.22035;-0.26715;0.149;ROSA;72
49;CH;60184;A;;0;;2.69518;2.55769;0.11948;AZUL;53
49;CH;60183;C;;0;;1.76944;1.54032;0.20404;AMARELO;54
49;CH;60184;A;;0;;2.69518;2.55769;0.11948;BRANCO;55
49;CH;60187;A;;0;;1.43883;1.32072;0.10075;ROSA;56
49;CH;58534;D;;0;;1.24302;0.05463;0.14673;AZUL;69
49;CH;58942;D;;0;;1.84502;0.34592;0.22276;AMARELO;70
49;CH;58534;D;;0;;1.24302;0.05463;0.14673;BRANCO;71
49;CH;58744;C;;0;;1.47937;0.65363;0.14448;ROSA;72
50;CH;60185;A;;0;;1.40172;2.50064;0.26532;AZUL;53
50;CH;60185;A;;0;;1.40172;2.50064;0.26532;AMARELO;54
50;CH;60186;A;;0;;0.86791;0.29868;0.00083;BRANCO;55
50;CH;60181;A;;0;;0.70844;-0.23821;0.02167;ROSA;56
50;CH;58942;D;;0;;1.84502;0.34592;0.22276;AZUL;69
50;CH;58534;D;;0;;1.24302;0.05463;0.14673;AMARELO;70
