CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
1;CH;71933;A;6;0;;2.23777;1.04258;0.29804;Azul;85;
2;CH;71990;B;19;0;;1.35599;1.23358;0.23895;Azul;85;
3;CH;73431;A;17;0;;1.58426;1.26006;0.19016;Azul;85;
4;CH;58249;B;26;0;;1.87124;-0.40493;0.17401;Azul;85;
5;CH;73854;D;27;0;;0.4083;1.46209;0.02447;Azul;85;
6;CH;73858;A;26;0;;1.1977;1.28057;0.14723;Azul;85;
7;CH;71987;C;16;0;;2.485;1.45898;0.18958;Azul;85;
8;CH;73852;B;30;0;;1.30894;1.93513;0.25936;Azul;85;
9;CH;72681;A;9;0;;2.75163;0.48518;0.21916;Azul;85;
10;CH;70789;E;17;0;;2.03677;0.32474;0.22152;Azul;85;
11;CH;71165;B;18;0;;1.95978;-0.28047;0.15433;Azul;85;
12;CH;73636;C;28;0;;1.4497;2.75231;0.08528;Azul;85;
13;CH;58951;C;8;0;;1.19627;2.01448;0.23469;Azul;85;
14;CH;73807;C;29;0;;2.69961;1.95426;0.12663;Azul;85;
15;CH;72403;B;29;0;;1.51697;2.25613;0.20476;Azul;85;
16;CH;58263;E;11;0;;1.69144;1.19262;0.10864;Azul;85;
17;CH;71319;A;18;0;;2.27333;1.10434;0.22374;Azul;85;
18;CH;72046;B;11;0;;2.00942;3.12945;0.10072;Azul;85;
19;CH;57779;C;5;0;;1.16823;1.8229;0.2094;Azul;85;
20;CH;70759;C;2;0;;2.88413;0.16023;0.22054;Azul;85;
21;CH;71954;A;5;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;85;
22;CH;73447;D;14;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;85;
23;CH;72699;B;25;0;;0.90062;1.10916;0.18432;Azul;85;
24;CH;72636;B;1;0;;2.14874;1.31672;0.20651;Azul;85;
25;CH;58553;C;7;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;85;
26;CH;71256;C;4;0;;2.85188;2.23152;0.14467;Azul;85;
