CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
21;LC;141283;B;14;0;;2.20125;0.82582;0.2119;AMARELA;1286;;0
20;LC;118144;C;23;0;;2.43295;0.90091;0.13239;AMARELA;1286;;0
11;LC;140926;D;26;0;;1.95105;-0.13372;0.19557;AMARELA;1282;;0
12;LC;36864;A;12;0;;1.14733;0.38901;0.23027;ROSA;1243;;0
5;LC;140614;C;8;0;;2.25894;1.00728;0.17726;AMARELA;1286;0;0
117;CN;96496;B;17;0;;3.65573;1.2408;0.31288;LARANJA;1308;;1
12;LC;141215;D;12;0;;2.56885;1.16647;0.1452;AMARELA;1282;;0
34;LC;141406;D;29;0;;2.58466;2.6116;0.171;BRANCA;1284;;0
20;LC;14727;D;16;0;;2.1034;-0.07713;0.12881;BRANCA;1284;;0
10;LC;140866;E;17;0;;1.49999;1.57603;0.1612;AMARELA;1286;;0
67;CH;140611;A;19;0;;1.72609;-0.17378;0.1911;AZUL;1271;;0
65;CH;87839;A;9;0;;1.98671;1.12588;0.26402;AZUL;1271;;0
143;MT;117727;A;11;0;;2.49104;3.01094;0.08231;AMARELA;1295;;0
168;MT;39385;C;12;0;;2.28918;2.23364;0.23391;VERDE;1315;;0
162;MT;141540;A;29;0;;2.11162;2.38012;0.17296;VERDE;1315;;0
157;MT;81743;D;2;0;;1.72431;0.7783;0.18886;VERDE;1315;;0
3;LC;140743;B;6;0;;2.79003;0.21669;0.49995;VERDE;1314;0;0
2;LC;140736;D;8;0;;2.40685;0.91466;0.10159;VERDE;1314;0;0
179;MT;14774;E;18;0;;1.641;0.045;0.175;ROSA;1253;;0
167;MT;82327;B;21;0;;2.37767;2.75304;0.28057;AMARELA;1255;;0
76;CH;26296;E;19;0;;1.8315;0.44019;0.19555;AMARELA;1276;;0
71;CH;140611;A;19;0;;1.72609;-0.17378;0.1911;AMARELA;1236;;0
62;CH;140180;A;11;0;;2.54102;0.57876;0.1767;AMARELA;1236;;0
32;LC;141450;A;2;0;;2.53799;0.9971;0.24444;LARANJA;1288;;1
30;LC;14898;A;25;0;;1.62348;1.05337;0.21956;LARANJA;1288;;1
41;LC;141423;E;20;0;;2.43139;0.95743;0.24644;LEITOR TELA;1290;;0
29;LC;140857;E;21;0;;1.2615;-0.59214;0.01135;VERDE;1209;;0
22;LC;140858;C;16;0;;2.59213;1.19798;0.23009;VERDE;1209;;0
175;MT;13725;D;12;0;;3.5851;1.4869;0.21903;AMARELA;1212;;0
111;CN;60037;B;9;0;;3.05374;1.81691;0.33738;LARANJA;1227;;0
102;CN;14385;D;24;0;;1.37738;0.01054;0.19554;LARANJA;1227;;0
125;CN;87721;E;8;0;;2.1809;1.01182;0.20267;LARANJA;1227;;0
24;LC;140835;B;20;0;;3.6215;-0.18111;0.18705;LEITOR TELA;1290;;0
22;LC;14727;D;16;0;;2.1034;-0.07713;0.12881;LEITOR TELA;1290;;0
11;LC;141005;B;1;0;;1.75502;-0.00715;0.20829;LEITOR TELA;1290;;0
4;LC;140566;E;7;0;;1.6142;0.66623;0.19198;LEITOR TELA;1290;1;0
95;CN;43890;E;27;0;;3.63689;1.43988;0.1836;VERDE;1318;;0
39;LC;140844;D;18;0;;1.35625;-0.20143;0.209;LARANJA;1247;;0
37;LC;141215;D;12;0;;2.56885;1.16647;0.1452;LARANJA;1247;;0
36;LC;140848;B;19;0;;1.22583;0.23244;0.19294;LARANJA;1247;;0
30;LC;14898;A;25;0;;1.62348;1.05337;0.21956;LARANJA;1247;;0
27;LC;141405;C;4;0;;1.30934;-0.45847;0.20553;LARANJA;1247;;0
10;LC;140866;E;17;0;;1.49999;1.57603;0.1612;LARANJA;1248;;1
11;LC;141005;B;1;0;;1.75502;-0.00715;0.20829;LEITOR TELA;1250;;0
1;LC;140652;E;5;0;;1.55494;0.70223;0.21103;LEITOR TELA;1250;1;0
102;CN;126541;C;1;0;;3.08461;0.93344;0.24287;AMARELA;1302;;0
124;CN;60978;B;25;0;;1.85476;1.5224;0.17445;LEITOR TELA;1230;;0
105;CN;97767;D;6;0;;1.78472;1.98863;0.10818;LARANJA;1228;;1
109;CN;111662;D;12;0;;2.43262;2.4702;0.29927;AMARELA;1305;;0
164;MT;117727;A;11;0;;2.49104;3.01094;0.08231;AMARELA;1252;;0
100;CN;14943;A;5;0;;1.62506;1.77927;0.09398;AMARELA;1305;;0
122;CN;89506;E;8;0;;1.59807;2.0059;0.08163;CINZA;1263;;0
100;CN;14943;A;5;0;;1.62506;1.77927;0.09398;ROSA;1264;;0
99;CN;9513;B;6;0;;2.85738;1.3405;0.11903;ROSA;1264;;0
98;CN;88570;C;4;0;;2.24692;1.39111;0.18364;ROSA;1264;;0
52;CH;141027;C;4;0;;1.25504;0.04005;0.20306;LARANJA;1237;;0
87;CH;141345;E;26;0;;1.64714;-0.15918;0.19597;LARANJA;1238;;1
84;CH;141387;B;25;0;;2.50523;-0.04116;0.18539;LARANJA;1238;;1
83;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;LARANJA;1238;;1
80;CH;141466;C;20;0;;2.82802;0.97492;0.32247;LARANJA;1238;;1
127;CN;117840;A;23;0;;1.30209;2.54323;0.15444;LARANJA;1308;;1
73;CH;141021;B;24;0;;2.15539;2.47587;0.28708;LARANJA;1278;;1
69;CH;87839;A;9;0;;1.98671;1.12588;0.26402;LARANJA;1278;;1
60;CH;140538;A;6;0;;1.33134;0.83509;0.23955;LARANJA;1278;;1
23;LC;140844;D;18;0;;1.35625;-0.20143;0.209;AZUL;1281;;0
32;LC;141450;A;2;0;;2.53799;0.9971;0.24444;AMARELA;1286;;0
